"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2018","10/31/2017","BRONX","B01","16,279","40,120","13,705","6,969","45,278","23,824"
"FY 2018","10/31/2017","BRONX","B02","7,630","20,099","7,287","3,533","22,827","12,190"
"FY 2018","10/31/2017","BRONX","B03","13,152","35,870","13,723","6,957","41,962","22,174"
"FY 2018","10/31/2017","BRONX","B04","23,563","52,880","17,572","8,572","58,305","31,560"
"FY 2018","10/31/2017","BRONX","B05","20,958","50,149","18,478","9,284","57,465","30,631"
"FY 2018","10/31/2017","BRONX","B06","11,672","34,980","14,754","6,999","39,543","20,827"
"FY 2018","10/31/2017","BRONX","B07","21,070","44,801","13,643","6,816","47,425","26,043"
"FY 2018","10/31/2017","BRONX","B08","9,640","17,255","3,270","1,701","16,481","9,766"
"FY 2018","10/31/2017","BRONX","B09","23,919","50,207","14,204","6,967","53,482","28,919"
"FY 2018","10/31/2017","BRONX","B10","9,870","17,999","3,738","1,917","17,508","10,571"
"FY 2018","10/31/2017","BRONX","B11","13,815","26,204","5,904","3,097","24,042","13,770"
"FY 2018","10/31/2017","BRONX","B12","17,424","38,228","12,559","6,304","37,245","20,228"
"FY 2018","10/31/2017","BROOKLYN","K01","35,314","49,515","6,336","2,683","51,872","20,254"
"FY 2018","10/31/2017","BROOKLYN","K02","7,296","14,199","3,386","2,096","13,703","9,019"
"FY 2018","10/31/2017","BROOKLYN","K03","21,546","41,401","10,929","5,902","45,304","24,086"
"FY 2018","10/31/2017","BROOKLYN","K04","16,011","27,263","5,090","2,760","26,003","15,412"
"FY 2018","10/31/2017","BROOKLYN","K05","27,635","55,861","14,902","7,893","62,817","34,852"
"FY 2018","10/31/2017","BROOKLYN","K06","5,722","10,534","1,822","1,058","9,856","6,363"
"FY 2018","10/31/2017","BROOKLYN","K07","27,545","35,925","3,647","1,884","23,106","13,102"
"FY 2018","10/31/2017","BROOKLYN","K08","10,876","21,644","6,271","3,613","21,407","13,399"
"FY 2018","10/31/2017","BROOKLYN","K09","14,646","23,153","4,626","2,610","21,118","12,507"
"FY 2018","10/31/2017","BROOKLYN","K10","18,951","25,232","2,351","1,213","17,098","9,699"
"FY 2018","10/31/2017","BROOKLYN","K11","34,247","48,910","3,992","2,017","37,470","21,513"
"FY 2018","10/31/2017","BROOKLYN","K12","52,525","70,448","9,793","2,638","62,727","20,395"
"FY 2018","10/31/2017","BROOKLYN","K13","16,431","35,407","5,063","2,488","32,615","21,036"
"FY 2018","10/31/2017","BROOKLYN","K14","25,016","38,323","5,637","2,931","32,870","18,674"
"FY 2018","10/31/2017","BROOKLYN","K15","21,536","34,558","3,624","1,796","28,439","17,227"
"FY 2018","10/31/2017","BROOKLYN","K16","12,395","32,018","11,848","6,159","36,341","20,002"
"FY 2018","10/31/2017","BROOKLYN","K17","20,771","34,750","8,563","4,669","30,808","18,866"
"FY 2018","10/31/2017","BROOKLYN","K18","20,200","32,227","5,958","3,186","27,660","16,306"
"FY 2018","10/31/2017","MANHATTAN","M01","1,640","3,160","728","649","2,259","1,758"
"FY 2018","10/31/2017","MANHATTAN","M02","3,140","4,521","371","282","3,123","2,456"
"FY 2018","10/31/2017","MANHATTAN","M03","25,670","44,879","6,232","4,022","37,624","25,065"
"FY 2018","10/31/2017","MANHATTAN","M04","6,269","12,914","3,089","2,040","11,530","8,661"
"FY 2018","10/31/2017","MANHATTAN","M05","1,787","4,872","2,008","1,306","4,325","3,272"
"FY 2018","10/31/2017","MANHATTAN","M06","3,381","5,942","1,068","854","4,902","4,206"
"FY 2018","10/31/2017","MANHATTAN","M07","8,950","18,070","3,773","2,517","16,494","12,320"
"FY 2018","10/31/2017","MANHATTAN","M08","4,959","7,948","823","565","5,537","4,405"
"FY 2018","10/31/2017","MANHATTAN","M09","12,256","23,720","5,273","3,270","22,990","14,820"
"FY 2018","10/31/2017","MANHATTAN","M10","14,211","31,705","9,218","5,579","34,211","21,322"
"FY 2018","10/31/2017","MANHATTAN","M11","18,491","40,954","9,883","6,163","43,054","26,344"
"FY 2018","10/31/2017","MANHATTAN","M12","29,044","50,848","7,076","4,359","48,826","32,439"
