"state","county","tract","NAME","B17022_017E","B17022_018E","B17022_019E","B17022_013E","B17022_014E","B17022_015E","B17022_016E","B17022_010E","B17022_011E","B17022_012E","B17022_020E","B17022_029E","B17022_025E","B17022_026E","B17022_027E","B17022_028E","B17022_021E","B17022_022E","B17022_023E","B17022_024E","B17020E_001E","B17020E_005E","B17020E_004E","B17020E_003E","B17020E_002E","B17020E_009E","B17020E_008E","B17020E_007E","B17020E_006E","B17022_009E","B17022_005E","B17022_006E","B17022_007E","B17022_008E","B17022_001E","B17022_002E","B17022_003E","B17022_004E","B17022_053E","B17022_054E","B17022_055E","B17022_056E","B17022_050E","B17022_051E","B17022_052E","B17022_057E","B17022_058E","B17022_059E","B17022_065E","B17022_066E","B17022_067E","B17022_068E","B17022_061E","B17022_062E","B17022_063E","B17022_064E","B17022_060E","B17022_069E","B17022_030E","B17022_031E","B17022_032E","B17022_037E","B17022_038E","B17022_039E","B17022_033E","B17022_034E","B17022_035E","B17022_036E","B17022_041E","B17022_042E","B17022_043E","B17022_044E","B17022_040E","B17022_049E","B17022_045E","B17022_046E","B17022_047E","B17022_048E","B17022_077E","B17022_078E","B17022_079E","B17022_073E","B17022_074E","B17022_075E","B17022_076E","B17022_070E","B17022_071E","B17022_072E","B17022_081E","B17022_080E","B17023_002E","B17023_003E","B17023_001E","B17023_006E","B17023_007E","B17023_004E","B17023_005E","B17020E_013E","B17020E_012E","B17020E_011E","B17020E_010E","B17020E_017E","B17020E_016E","B17020E_015E","B17020E_014E","B17023_030E","B17023_031E","B17020F_001E","B17023_034E","B17023_035E","B17020F_002E","B17020F_003E","B17023_032E","B17020F_004E","B17023_033E","B17023_014E","B17023_015E","B17023_012E","B17023_013E","B17023_018E","B17023_019E","B17023_016E","B17023_017E","B17023_010E","B17023_011E","B17020F_017E","B17023_008E","B17023_009E","B17023_026E","B17023_027E","B17023_024E","B17023_025E","B17023_028E","B17023_029E","B17020F_010E","B17020F_011E","B17020F_012E","B17023_022E","B17020F_013E","B17020F_014E","B17023_023E","B17020F_015E","B17023_020E","B17023_021E","B17020F_016E","B17020F_005E","B17020F_006E","B17020F_007E","B17020F_008E","B17020F_009E","B17020A_014E","B17020A_015E","B17020A_016E","B17020A_017E","B17020A_010E","B17020A_011E","B17020A_012E","B17020A_013E","B17020A_006E","B17020A_007E","B17020A_008E","B17020A_009E","B17020A_002E","B17020A_003E","B17020A_004E","B17020A_005E","B17020A_001E","B17020B_015E","B17020B_016E","B17020B_013E","B17020B_014E","B17020B_017E","B17020B_011E","B17020B_012E","B17020B_010E","B17020B_009E","B17020B_003E","B17020B_004E","B17020B_001E","B17020B_002E","B17020B_007E","B17020B_008E","B17020B_005E","B17020B_006E","B17024_066E","B17024_065E","B17024_064E","B17024_063E","B17024_062E","B17024_061E","B17024_060E","B17024_069E","B17024_068E","B17024_067E","B17024_054E","B17024_053E","B17024_052E","B17024_051E","B17024_050E","B17024_059E","B17024_058E","B17024_057E","B17024_056E","B17024_055E","B17024_039E","B17024_042E","B17024_041E","B17024_040E","B17024_049E","B17024_048E","B17024_047E","B17024_046E","B17024_045E","B17024_044E","B17024_043E","B17024_029E","B17024_028E","B17024_027E","B17024_030E","B17024_038E","B17024_037E","B17024_036E","B17024_035E","B17024_034E","B17024_033E","B17024_032E","B17024_031E","B17024_094E","B17024_093E","B17024_092E","B17024_091E","B17024_090E","B17024_099E","B17024_098E","B17024_097E","B17024_096E","B17024_095E","B17024_082E","B17024_081E","B17024_080E","B17024_089E","B17024_088E","B17024_087E","B17024_086E","B17024_085E","B17024_084E","B17024_083E","B17024_070E","B17024_078E","B17024_077E","B17024_076E","B17024_075E","B17024_074E","B17024_073E","B17024_072E","B17024_071E","B17024_079E","B17024_019E","B17024_018E","B17024_017E","B17024_016E","B17024_015E","B17024_026E","B17024_025E","B17024_024E","B17024_023E","B17024_022E","B17024_021E","B17024_020E","B17024_009E","B17024_008E","B17024_007E","B17024_006E","B17024_005E","B17024_004E","B17024_003E","B17024_014E","B17024_013E","B17024_012E","B17024_011E","B17024_010E","B17024_002E","B17024_001E","B17020G_016E","B17020G_017E","B17020G_014E","B17020G_015E","B17020G_012E","B17020G_013E","B17020G_010E","B17020G_011E","B17020G_008E","B17020G_009E","B17020G_006E","B17020G_007E","B17020G_004E","B17020G_005E","B17020G_002E","B17020G_003E","B17020G_001E","B17020_008E","B17020_007E","B17020_009E","B17020_002E","B17020_001E","B17020_004E","B17020_003E","B17020_006E","B17020_005E","B17020_010E","B17020_012E","B17020_011E","B17020_014E","B17020_013E","B17020_016E","B17020_015E","B17020_017E","B17024_107E","B17024_106E","B17024_105E","B17024_104E","B17024_103E","B17024_102E","B17024_101E","B17024_100E","B17024_109E","B17024_108E","B17024_111E","B17024_110E","B17024_129E","B17024_128E","B17024_127E","B17024_126E","B17024_125E","B17024_124E","B17024_131E","B17024_130E","B17024_119E","B17024_118E","B17024_117E","B17024_116E","B17024_115E","B17024_114E","B17024_113E","B17024_112E","B17024_123E","B17024_122E","B17024_121E","B17024_120E","B17025_015E","B17025_014E","B17025_011E","B17025_010E","B17025_013E","B17025_012E","B17025_003E","B17025_002E","B17025_005E","B17025_004E","B17025_001E","B17025_007E","B17025_006E","B17025_009E","B17025_008E","B17020C_015E","B17020C_014E","B17020C_013E","B17020C_012E","B17020C_011E","B17020C_010E","B17020C_017E","B17020C_016E","B17020C_003E","B17020C_002E","B17020C_001E","B17020C_009E","B17020C_008E","B17020C_007E","B17020C_006E","B17020C_005E","B17020C_004E","B17021_008E","B17021_009E","B17021_006E","B17021_007E","B17021_004E","B17021_005E","B17021_002E","B17021_003E","B17021_001E","B17020H_007E","B17020H_008E","B17020H_009E","B17020H_003E","B17020H_004E","B17020H_005E","B17020H_006E","B17020H_001E","B17020H_002E","B17021_028E","B17021_029E","B17021_026E","B17021_027E","B17021_024E","B17021_025E","B17021_022E","B17021_023E","B17021_020E","B17021_021E","B17020H_015E","B17020H_016E","B17020H_017E","B17020H_011E","B17020H_012E","B17021_018E","B17020H_013E","B17020H_014E","B17021_019E","B17021_016E","B17021_017E","B17021_014E","B17020H_010E","B17021_015E","B17021_012E","B17021_013E","B17021_010E","B17021_011E","B17021_034E","B17021_035E","B17021_032E","B17021_033E","B17021_030E","B17021_031E","B17020I_007E","B17020I_006E","B17020I_009E","B17020I_008E","B17020I_001E","B17020I_003E","B17020I_002E","B17020I_005E","B17020I_004E","B17020I_011E","B17020I_010E","B17020I_013E","B17020I_012E","B17020I_015E","B17020I_014E","B17020I_017E","B17020I_016E","B17026_003E","B17026_004E","B17026_001E","B17026_002E","B17026_007E","B17026_009E","B17026_008E","B17026_005E","B17026_006E","B17026_011E","B17026_012E","B17026_010E","B17026_013E","B17020D_004E","B17020D_003E","B17020D_006E","B17020D_005E","B17020D_002E","B17020D_001E","B17020D_008E","B17020D_007E","B17020D_009E","B17020D_016E","B17020D_015E","B17020D_017E","B17020D_012E","B17020D_011E","B17020D_014E","B17020D_013E","B17020D_010E"
"36","005","000100","Census Tract 1; Bronx County; New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","005","000200","Census Tract 2; Bronx County; New York",0,0,0,0,0,0,12,43,43,43,0,23,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1136,55,0,0,0,0,18,17,18,0,0,17,0,0,26,0,208,317,0,990,551,234,17,439,0,0,0,0,0,0,0,0,0,23,23,68,33,33,0,35,33,0,0,0,126,0,50,0,0,72,367,72,0,0,241,76,55,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,407,1788,0,29,164,0,285,0,93,12,12,0,0,0,1081,0,0,0,43,20,55,43,90,90,0,497,0,0,1624,85,85,209,169,944,0,263,584,375,58,0,84,32,48,0,291,44,0,0,579,125,119,0,32,1,0,0,33,0,0,0,612,355,0,156,548,107,23,41,1230,0,42,0,1685,455,0,0,0,413,131,72,302,138,24,0,11,1,79,734,789,75,0,115,102,0,0,21,78,12,0,209,652,135,0,0,38,0,0,97,16,0,380,152,0,120,125,0,0,0,0,0,0,1,692,320,0,143,70,0,0,0,3,0,13,541,42,0,0,0,23,0,0,0,0,127,174,0,0,80,0,25,248,0,0,0,0,245,0,0,71,0,0,22,0,0,49,0,0,0,42,0,0,0,36,148,0,275,5061,65,0,334,136,0,55,590,0,0,0,0,0,0,0,0,0,590,48,33,0,652,5061,0,42,529,0,4409,245,233,2312,380,123,989,127,32,455,225,0,229,164,0,0,0,0,0,0,25,53,0,0,0,20,152,0,298,204,0,146,38,0,35,0,0,27,0,21,655,1093,2471,2661,1748,190,440,652,48,392,5061,43,212,4409,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,85,110,456,110,0,652,566,5061,1,0,0,0,0,0,3,70,4,1739,1739,175,0,1914,175,2131,96,4141,2227,0,0,0,0,0,6,0,66,4409,80,0,86,66,80,31,305,35,336,141,68,200,59,0,268,32,94,0,48,3066,0,174,0,0,233,2892,285,204,482,1530,35,123,43,0,1136,12,50,0,18,0,23,259,0,196,535,0,0,0,0,0,386,0,0,0,0,191,0,0,0,195,0,386
"36","005","000400","Census Tract 4; Bronx County; New York",23,0,0,0,0,0,63,0,0,0,23,0,0,0,6,0,40,6,6,6,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1554,63,0,0,0,0,0,115,0,0,0,115,0,28,108,28,184,629,0,1326,949,320,87,377,0,0,0,0,0,0,0,0,0,0,0,159,44,0,0,115,0,0,0,44,50,0,0,0,94,99,184,193,94,0,134,50,63,0,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,299,2606,115,0,112,0,176,0,8,63,40,0,0,0,1491,23,0,0,0,71,63,0,193,99,0,492,94,0,2494,0,166,257,288,1389,28,534,999,714,46,26,39,47,0,0,56,58,0,0,114,0,0,0,25,4,0,0,29,0,0,0,143,205,0,252,1316,38,181,254,2246,0,0,0,2382,136,40,0,0,96,254,374,409,186,41,113,63,48,11,623,1497,115,11,175,0,51,0,2,4,0,57,36,439,110,0,101,0,0,0,0,1,0,590,13,0,281,0,0,104,0,12,0,26,98,944,266,95,286,105,0,1,1,0,0,0,805,36,11,87,0,0,1,23,0,33,121,0,0,0,32,12,0,366,0,0,0,0,507,67,153,0,0,209,65,0,0,39,0,0,0,0,0,89,51,130,0,0,309,6649,60,0,786,333,87,0,1394,128,0,0,1,0,0,0,1,0,1395,0,91,0,297,6649,0,0,180,26,6352,507,309,3627,564,106,1130,109,0,720,389,71,232,23,13,11,47,0,0,44,16,112,0,0,0,19,68,0,215,46,420,87,65,11,0,0,0,0,0,0,376,467,4845,5509,843,664,173,297,58,115,6649,124,124,6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,136,0,0,297,136,6649,4,0,0,0,0,0,25,111,29,1793,1749,610,171,2574,781,3067,74,5715,3141,26,0,0,0,0,18,0,56,6352,143,0,161,82,143,125,0,11,125,129,116,521,392,44,637,47,39,0,0,4265,0,112,26,0,172,4153,361,253,870,2335,71,91,0,23,1554,40,72,11,87,0,6,324,371,114,506,0,0,19,0,19,123,0,0,0,0,0,0,0,0,80,24,104
"36","005","001600","Census Tract 16; Bronx County; New York",238,0,55,0,0,0,320,0,0,0,183,0,0,0,0,10,82,10,10,0,0,0,0,0,0,0,0,0,0,320,0,0,0,12,1453,332,12,0,17,39,0,51,56,56,0,30,0,0,0,14,170,386,21,937,570,184,30,367,0,0,0,0,0,0,0,0,0,0,0,174,67,0,0,107,0,0,0,67,60,23,0,0,67,0,259,108,108,41,199,37,227,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,403,1820,4,0,131,0,281,6,118,227,161,0,0,0,1226,63,3,0,0,85,227,0,164,108,0,567,17,39,1689,127,129,101,215,793,41,247,659,517,93,0,79,17,29,0,17,53,0,0,70,0,0,0,4,25,0,3,32,0,0,0,102,405,126,106,1055,0,102,60,1854,0,0,29,2124,270,30,57,0,154,254,17,21,38,26,0,7,50,10,471,520,120,0,53,240,0,73,0,26,58,0,23,673,33,10,36,93,20,55,23,0,4,352,45,0,39,46,0,112,64,0,54,0,79,810,289,0,138,32,16,20,32,17,31,47,808,98,0,39,55,17,63,31,0,0,142,141,27,0,30,14,4,53,6,35,46,29,367,0,16,123,49,0,18,0,0,20,0,70,0,0,0,0,0,108,31,26,255,5329,0,0,529,86,19,4,638,0,15,0,88,62,75,4,244,0,882,101,262,3,808,5329,110,0,328,4,4521,257,255,2495,348,219,862,85,22,665,283,0,66,131,98,36,24,117,24,16,134,0,0,0,78,18,18,17,408,19,0,52,102,126,0,163,39,15,57,32,491,1314,2263,2716,1805,453,776,808,91,685,5329,29,32,4521,3,32,0,0,0,0,32,0,0,0,128,160,0,0,128,0,0,0,36,0,0,485,0,0,808,485,5329,0,0,3,0,0,0,4,22,7,1238,1238,637,14,1889,651,2212,0,4101,2212,0,0,0,0,0,39,0,15,4521,262,22,323,15,284,434,15,36,449,63,74,346,283,0,420,104,142,0,44,3084,0,365,0,75,127,2719,219,148,560,1487,85,93,173,51,1453,3,135,135,39,87,28,255,17,276,254,0,0,3,0,3,241,0,0,0,0,39,0,49,26,101,23,238
"36","005","001901","Census Tract 19.01; Bronx County; New York",81,17,0,0,0,18,118,18,0,0,64,31,0,24,0,0,37,55,24,24,0,0,0,0,0,0,0,0,0,136,0,0,18,0,545,154,18,18,0,0,0,83,0,0,0,83,56,0,7,0,0,134,0,236,141,7,27,95,17,17,0,14,0,14,0,17,0,14,0,100,17,17,0,83,0,17,0,0,23,0,0,0,0,49,37,58,9,9,14,23,99,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,171,475,0,0,167,21,51,0,120,81,31,0,0,0,446,50,0,18,0,0,99,18,75,58,0,246,17,0,308,29,24,25,44,211,41,0,200,134,0,55,70,18,3,0,180,34,0,0,214,0,0,0,33,0,0,0,33,0,0,0,247,70,0,101,669,0,114,21,975,0,4,0,1200,225,17,0,38,166,143,25,126,50,0,21,12,18,53,465,511,0,0,0,16,14,0,101,0,19,0,19,122,0,0,31,56,0,0,0,0,0,238,0,41,26,0,0,19,39,61,0,52,52,159,82,0,162,0,0,0,22,33,0,23,447,52,2,15,41,0,60,10,36,15,30,21,0,0,0,84,20,188,17,0,0,0,75,0,0,0,0,0,45,13,0,84,45,0,0,0,25,6,8,0,0,0,168,2258,0,0,139,0,13,0,152,0,0,0,3,0,0,0,3,0,155,3,35,0,507,2258,0,25,351,93,1751,75,143,1284,145,0,104,0,0,70,34,0,0,18,0,0,0,0,0,70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,250,177,1274,1324,427,50,398,507,25,373,2258,38,109,1751,71,0,33,0,0,0,33,0,0,0,79,112,0,0,0,79,0,0,36,36,0,308,0,0,507,308,2258,0,0,0,0,0,0,0,180,0,506,485,135,8,649,143,604,0,1253,604,34,0,0,0,0,12,0,146,1751,170,17,199,180,187,221,51,0,272,68,81,417,349,21,498,18,204,0,3,974,21,323,77,0,29,651,87,24,33,478,0,0,18,46,545,35,85,0,15,55,55,79,7,47,103,0,0,0,0,0,69,0,0,0,0,0,0,17,0,52,0,69
"36","005","001902","Census Tract 19.02; Bronx County; New York",36,26,0,0,0,0,36,0,0,0,10,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,36,46,0,0,11,346,93,57,46,0,0,0,11,0,0,0,11,11,0,9,0,28,190,0,242,227,37,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,93,57,346,0,0,11,46,0,0,0,502,0,0,0,502,0,11,567,0,0,339,61,0,0,11,36,0,0,0,0,253,36,0,0,0,0,36,0,15,15,0,26,0,0,228,0,56,0,0,96,0,76,227,227,0,11,254,8,0,5,23,0,0,0,23,0,0,0,66,0,0,0,66,0,0,0,89,18,0,0,125,0,13,0,156,0,0,0,383,227,33,0,0,194,18,33,0,63,45,0,20,19,73,329,398,132,0,0,27,15,13,19,78,94,0,109,291,0,0,0,0,0,0,23,0,11,11,0,0,0,0,0,0,0,0,0,0,31,387,156,13,0,8,0,0,24,0,6,147,370,10,5,0,0,13,4,16,4,0,11,19,51,0,8,0,13,131,0,0,0,0,56,0,0,0,56,0,0,0,0,13,0,0,0,49,61,0,0,0,9,0,132,2040,0,10,252,8,0,0,279,9,0,0,115,11,0,0,175,49,454,0,52,5,807,2040,0,110,629,11,1233,56,22,1040,0,0,105,10,11,51,166,0,8,87,63,0,27,0,0,0,0,0,0,0,0,0,10,0,15,13,0,0,0,0,0,0,0,0,5,0,93,136,996,1004,229,8,526,807,42,484,2040,68,281,1233,213,3,15,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,110,228,228,807,338,2040,0,0,0,0,0,0,38,61,38,24,24,37,0,61,37,888,10,959,898,0,0,0,0,0,349,0,23,1233,111,9,469,23,120,99,11,0,110,0,116,158,158,0,274,19,370,5,0,1043,110,515,11,0,0,528,0,56,87,375,10,0,23,0,346,70,11,28,0,0,0,8,0,41,165,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,27
"36","005","001903","Census Tract 19.03; Bronx County; New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","005","001904","Census Tract 19.04; Bronx County; New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","005","002001","Census Tract 20.01; Bronx County; New York",227,0,33,0,0,0,428,0,0,0,194,15,0,0,0,0,201,15,0,0,0,0,0,0,0,0,0,0,0,428,0,60,47,12,1091,547,119,107,0,0,0,127,0,0,0,113,0,0,0,3,12,83,14,402,98,15,113,304,0,0,0,0,0,0,0,0,0,15,15,127,0,0,0,127,0,0,0,0,74,33,18,0,0,41,263,41,0,0,189,23,506,119,1091,0,0,39,80,0,0,0,0,0,0,0,0,0,446,1592,0,0,956,43,251,106,195,387,218,0,0,0,585,72,97,0,0,6,387,0,41,41,0,487,0,0,636,5,185,15,4,419,0,17,98,83,0,225,379,203,0,0,52,0,21,14,107,20,0,0,117,29,93,0,343,54,0,50,450,71,238,27,511,0,25,77,949,12,92,0,1492,543,39,35,0,365,78,101,36,53,0,0,0,20,97,405,458,60,0,0,101,19,41,43,32,55,0,121,553,0,3,0,78,0,0,75,115,240,393,0,43,0,0,4,0,27,0,0,79,268,609,9,14,0,0,15,18,6,147,34,126,348,95,4,0,26,0,0,40,63,0,0,30,3,80,87,0,0,25,77,18,25,114,439,0,20,64,0,0,121,0,0,0,0,0,30,0,159,0,20,21,25,5,260,4113,6,30,132,57,20,0,266,21,0,13,89,11,51,87,251,0,517,128,282,25,2155,4113,157,189,1012,362,1958,282,71,1114,31,265,145,50,29,180,0,14,16,79,9,37,12,11,13,31,51,0,69,0,69,13,54,59,468,0,14,27,0,43,0,0,0,128,13,12,75,190,1542,1693,265,151,1828,2155,111,1717,4113,61,327,1958,266,0,0,0,0,0,0,0,0,0,62,62,0,0,0,62,0,0,16,0,0,1179,648,648,2155,1827,4113,0,0,0,0,0,0,0,21,0,1314,1314,85,0,1399,85,249,0,1648,249,0,21,0,0,0,0,0,0,1958,328,0,328,21,328,1113,50,16,1163,0,0,310,310,0,310,243,574,13,128,2487,54,1459,326,121,71,1028,31,205,74,591,50,6,180,125,1091,201,113,52,14,41,15,75,87,125,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","005","002002","Census Tract 20.02; Bronx County; New York",78,40,0,0,0,0,356,0,0,0,38,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,74,983,430,74,0,0,0,0,36,0,0,0,36,15,21,0,0,0,92,0,517,92,0,0,425,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,0,0,0,0,230,150,0,0,0,17,408,17,0,0,178,80,362,37,983,0,0,37,0,0,0,0,0,0,0,0,0,0,475,1471,0,0,843,87,209,0,266,325,247,0,0,0,621,78,0,0,0,0,325,0,17,17,0,492,0,0,628,0,0,0,84,248,0,0,129,129,296,79,377,64,215,21,17,0,33,0,50,0,0,0,225,215,0,0,440,0,0,0,490,150,129,0,380,21,27,22,729,0,0,0,905,176,0,0,0,176,0,0,0,437,0,0,36,0,76,390,664,0,0,0,0,0,0,87,0,104,70,146,146,0,0,0,0,0,0,0,0,79,163,0,0,0,14,0,0,0,0,0,0,30,207,207,0,0,0,0,0,106,19,16,179,557,13,0,0,15,0,31,96,16,84,17,0,0,0,0,142,0,55,0,0,0,0,22,0,0,0,0,0,22,0,0,66,0,0,87,0,0,0,0,0,86,0,239,3551,27,0,368,0,0,0,520,125,0,0,48,19,0,0,67,0,587,215,298,21,1526,3551,0,87,826,79,2025,22,152,1068,84,485,193,21,18,421,0,52,0,0,0,0,215,16,0,0,0,73,0,0,0,0,0,247,742,172,0,0,0,0,0,0,186,116,68,52,281,335,1343,1409,616,66,1004,1526,388,616,3551,350,522,2025,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,817,105,74,1526,922,3551,0,0,0,0,0,0,13,30,13,1281,1092,32,0,1313,32,349,0,1662,349,0,0,0,0,0,0,0,17,2025,575,29,604,17,604,788,29,0,817,0,142,221,221,189,363,298,784,21,215,2745,87,1484,79,0,152,1261,84,22,0,647,0,356,19,146,983,197,36,0,0,68,0,0,154,214,149,0,0,0,0,0,98,0,0,0,0,43,0,0,0,55,0,98
